24
    1 1s1/2 2  9.31060000E+04
    6 12 16  2.49619000E-03  2.94594000E+03
    6 13 13  7.87084000E-04  2.84908000E+03
    6 13 14  1.78652000E-03  2.87510000E+03
    6 13 15  9.62750000E-04  3.14914000E+03
    6 13 16  1.58549000E-03  3.15534000E+03
    6 14 14  4.63775000E-04  2.90112000E+03
    6 14 15  2.60032000E-03  3.17516000E+03
    6 14 16  6.08725000E-04  3.18136000E+03
    6 15 15  3.38850000E-03  3.44920000E+03
    6 15 16  2.17066000E-02  3.45540000E+03
    6 16 16  1.13572000E-03  3.46160000E+03
    7  8  0  1.46499000E-05  4.78000000E+02
    7  9  0  2.72189000E-04  5.96400000E+02
    7 10  0  1.52689000E-03  2.30986000E+03
    7 13  0  7.40876000E-04  2.78594000E+03
    7 14  0  5.68137000E-03  2.81196000E+03
    7 17  0  3.36938000E-04  3.10016000E+03
    7 20  0  1.14659000E-04  3.23934000E+03
    7 21  0  8.81836000E-04  3.24299000E+03
    7 24  0  4.98558000E-05  3.26117000E+03
    7  8 15  1.66754000E-02  2.82500000E+02
    7  8 16  2.43076000E-02  2.88700000E+02
    7  9 13  4.84369000E-02  1.00840000E+02
